BA,Network_zones,CapRes_1,CapRes_2,CapRes_3
WA,z10,0.161,0,0
CA,z2,0,0.169,0
NV,z7,0.161,0,0
ID,z4,0.161,0,0
MT,z5,0.161,0,0
WY,z11,0.161,0,0
UT,z9,0.161,0,0
AZ,z1,0,0,0.102
NM,z6,0,0,0.102
CO,z3,0.161,0,0
OR,z8,0.161,0,0
