CT_NG,ME_NG,MA_NG,None
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
4.09,4.09,3.98,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
