BA,Network_zones,CO_2_Cap_Zone_1,CO_2_Max_Mtons_1
p1,z1,0,0
p10,z2,1,38
p11,z3,1,0
p12,z4,0,0
p13,z5,0,0
p14,z6,0,0
p15,z7,0,0
p16,z8,0,0
p17,z9,0,0
p18,z10,0,0
p19,z11,0,0
p2,z12,0,0
p20,z13,0,0
p21,z14,0,0
p22,z15,0,0
p23,z16,0,0
p24,z17,0,0
p25,z18,0,0
p26,z19,0,0
p27,z20,0,0
p28,z21,0,0
p29,z22,0,0
p3,z23,0,0
p30,z24,0,0
p31,z25,0,0
p32,z26,0,0
p33,z27,0,0
p34,z28,0,0
p4,z29,0,0
p5,z30,0,0
p59,z31,0,0
p6,z32,0,0
p7,z33,0,0
p8,z34,1,0
p9,z35,1,0
