elec_demand_SE,elec_demand_MIDAT,elec_demand_NE
171580.0,119628.0,63055.0
163244.0,115089.0,59996.0
156173.0,109812.0,56623.0
149903.0,104900.0,53457.0
148727.0,103396.0,50255.0
149519.0,102823.0,49710.0
149643.0,102175.0,49055.0
151424.0,103206.0,49710.0
155522.0,106195.0,51341.0
165431.0,116121.0,56914.0
210982.0,162746.0,79379.0
233723.0,174734.0,88336.0
227519.0,167145.0,85727.0
209635.0,151475.0,77815.0
207551.0,152333.0,79217.0
203229.0,148421.0,77720.0
199119.0,146308.0,77053.0
194507.0,142391.0,75172.0
191191.0,140991.0,74813.0
193662.0,145167.0,77519.0
202984.0,154265.0,83427.0
220337.0,167786.0,91604.0
213997.0,156099.0,84963.0
191967.0,139929.0,76272.0
178636.0,135080.0,73505.0
165916.0,120372.0,63020.0
154996.0,111699.0,57872.0
146907.0,106270.0,54548.0
138733.0,103721.0,53599.0
136218.0,103142.0,53067.0
136503.0,102198.0,52100.0
138480.0,103320.0,52628.0
142436.0,106367.0,54199.0
152266.0,116047.0,59906.0
200705.0,160138.0,81608.0
221532.0,172052.0,91364.0
214248.0,165270.0,88681.0
199447.0,150047.0,80030.0
199180.0,151317.0,80761.0
196623.0,147374.0,78743.0
194052.0,145172.0,77931.0
190205.0,141052.0,75892.0
188261.0,139856.0,75352.0
192076.0,143779.0,77621.0
202403.0,152977.0,83698.0
219414.0,166689.0,92767.0
212859.0,155127.0,86109.0
191819.0,139454.0,77453.0
179640.0,134718.0,74912.0
167134.0,120268.0,64279.0
156469.0,111224.0,58805.0
148909.0,105601.0,54806.0
146722.0,101751.0,52178.0
147679.0,101331.0,51702.0
148839.0,100445.0,50725.0
151496.0,101490.0,51135.0
156835.0,104503.0,52550.0
168929.0,114039.0,57905.0
218625.0,155836.0,78405.0
239189.0,167197.0,87661.0
232077.0,161460.0,85374.0
216658.0,147117.0,77324.0
214770.0,148654.0,78575.0
209525.0,145048.0,76831.0
205427.0,142961.0,76039.0
200275.0,139263.0,74309.0
196858.0,138230.0,73934.0
200567.0,142388.0,76336.0
211742.0,151461.0,82456.0
230996.0,164679.0,91130.0
225241.0,153365.0,84528.0
204263.0,137887.0,75884.0
192287.0,133307.0,73282.0
179786.0,119231.0,62955.0
168936.0,110286.0,57536.0
161779.0,104863.0,53937.0
160498.0,101549.0,51309.0
162104.0,101209.0,50699.0
164621.0,100490.0,49813.0
168364.0,101706.0,50379.0
174654.0,104742.0,51878.0
187236.0,114287.0,57356.0
239628.0,156199.0,78150.0
261753.0,168311.0,87744.0
248656.0,162235.0,85781.0
226950.0,147920.0,78137.0
222702.0,149360.0,79415.0
214197.0,145296.0,78184.0
207422.0,143198.0,77496.0
200374.0,139526.0,76085.0
195749.0,138442.0,75924.0
198310.0,142790.0,78715.0
208656.0,152108.0,84994.0
228251.0,165651.0,93566.0
223030.0,154777.0,87099.0
203072.0,139560.0,78324.0
191790.0,135249.0,75774.0
179867.0,121025.0,65287.0
169828.0,111917.0,59561.0
163450.0,106524.0,55964.0
161953.0,104582.0,54818.0
164345.0,104709.0,53954.0
167179.0,103979.0,52803.0
171161.0,105195.0,53408.0
177413.0,108117.0,55110.0
189990.0,117693.0,61061.0
246845.0,161084.0,85545.0
267582.0,173551.0,96831.0
246964.0,166069.0,93679.0
220064.0,149728.0,84349.0
213618.0,150091.0,84050.0
203632.0,145112.0,82371.0
195909.0,142077.0,81512.0
188314.0,137746.0,79595.0
183064.0,135676.0,78906.0
184513.0,139172.0,81059.0
193482.0,148352.0,87358.0
211926.0,162813.0,96735.0
207198.0,151305.0,90337.0
187194.0,136323.0,81030.0
175838.0,131584.0,78533.0
164538.0,117486.0,67294.0
154826.0,108908.0,61521.0
148211.0,103232.0,57514.0
141103.0,94773.0,54567.0
136400.0,91159.0,52015.0
135967.0,88995.0,50740.0
137802.0,88919.0,50610.0
140160.0,88629.0,50377.0
145188.0,92621.0,53534.0
171555.0,102468.0,59162.0
177316.0,109660.0,66241.0
171654.0,117888.0,72037.0
167487.0,119844.0,73012.0
168231.0,121597.0,73384.0
160120.0,116403.0,70589.0
156336.0,117461.0,71351.0
152202.0,115317.0,70281.0
144475.0,110100.0,67111.0
141197.0,110340.0,66865.0
144652.0,115447.0,70408.0
153313.0,122226.0,75611.0
155312.0,118524.0,72004.0
154774.0,117755.0,71173.0
148186.0,111276.0,67507.0
140642.0,106948.0,64788.0
133041.0,100339.0,59793.0
127256.0,96271.0,56105.0
122043.0,92563.0,50965.0
118454.0,88833.0,48241.0
116800.0,86796.0,46807.0
117668.0,86981.0,46733.0
119175.0,86774.0,46552.0
122550.0,88889.0,47884.0
140033.0,97065.0,52512.0
144485.0,104980.0,59311.0
147088.0,113954.0,65782.0
149829.0,117295.0,68470.0
152673.0,119413.0,69721.0
148295.0,115286.0,67769.0
147109.0,116625.0,69221.0
145309.0,114618.0,68727.0
139270.0,109875.0,66060.0
136983.0,110435.0,66622.0
140867.0,115966.0,70219.0
148322.0,123177.0,74426.0
151167.0,120745.0,72762.0
150005.0,118800.0,71109.0
142455.0,112454.0,67163.0
134083.0,107915.0,64151.0
126335.0,102921.0,60925.0
120000.0,98738.0,57526.0
120812.0,98755.0,54398.0
122769.0,98908.0,53619.0
123907.0,98281.0,52782.0
126527.0,99729.0,53378.0
130928.0,102262.0,54670.0
139930.0,109263.0,58691.0
166774.0,128783.0,69454.0
183681.0,144179.0,80061.0
186456.0,145731.0,81862.0
176997.0,134519.0,75866.0
176351.0,137916.0,77337.0
174471.0,134402.0,75958.0
172205.0,132230.0,75222.0
168273.0,128591.0,73404.0
166027.0,127069.0,72768.0
169591.0,130747.0,74868.0
179281.0,139131.0,80418.0
195150.0,152118.0,88944.0
188559.0,139299.0,81412.0
165776.0,121981.0,70755.0
151130.0,115969.0,67220.0
142191.0,110768.0,63892.0
132521.0,105054.0,60073.0
123797.0,98936.0,55974.0
118547.0,95610.0,53046.0
116736.0,95225.0,52392.0
117178.0,94594.0,51524.0
119028.0,95363.0,51967.0
123048.0,97943.0,53348.0
133019.0,107001.0,58864.0
166516.0,144457.0,79755.0
183445.0,152156.0,89483.0
183599.0,146542.0,86500.0
171888.0,133298.0,77668.0
170431.0,135702.0,78481.0
169424.0,131521.0,76315.0
167774.0,129349.0,74923.0
164431.0,125962.0,73094.0
163018.0,124532.0,72363.0
167169.0,127768.0,74192.0
177660.0,136356.0,79662.0
193180.0,148724.0,87728.0
187501.0,137365.0,81018.0
164969.0,122168.0,72019.0
150851.0,117181.0,69051.0
139009.0,104609.0,59126.0
128023.0,97234.0,53985.0
118256.0,91420.0,50323.0
110700.0,86520.0,46262.0
108853.0,86244.0,45668.0
108617.0,85619.0,44963.0
110208.0,86659.0,45602.0
113776.0,89297.0,47084.0
123050.0,97862.0,52097.0
151416.0,126094.0,69039.0
171882.0,138379.0,77916.0
175776.0,136409.0,76746.0
166312.0,125277.0,70198.0
166041.0,128548.0,72254.0
167332.0,126676.0,71218.0
166693.0,125150.0,70851.0
164893.0,122602.0,69590.0
164832.0,122186.0,69499.0
169799.0,126511.0,72282.0
180623.0,135032.0,77984.0
195234.0,146495.0,85293.0
190267.0,136191.0,79005.0
167398.0,121147.0,70025.0
153073.0,115746.0,66662.0
141502.0,104215.0,57849.0
130035.0,97089.0,53254.0
120329.0,91548.0,49918.0
114153.0,88663.0,49009.0
111786.0,88875.0,48758.0
112200.0,88509.0,48103.0
114509.0,90095.0,48830.0
118700.0,93223.0,50443.0
128739.0,102418.0,55886.0
158514.0,134586.0,74170.0
179614.0,146535.0,83982.0
183961.0,143863.0,82351.0
174742.0,132594.0,74874.0
174425.0,135950.0,76650.0
175093.0,133728.0,75306.0
174765.0,132406.0,74675.0
172823.0,130040.0,73294.0
172314.0,129531.0,73168.0
177577.0,134063.0,75953.0
188773.0,143001.0,81880.0
204425.0,155537.0,90269.0
199061.0,145148.0,83675.0
176939.0,130256.0,74765.0
163149.0,125623.0,71866.0
151300.0,112913.0,61990.0
140147.0,105276.0,56961.0
130997.0,99513.0,53516.0
124266.0,93712.0,50039.0
124137.0,93466.0,49618.0
124506.0,92824.0,48685.0
127005.0,93893.0,49224.0
131430.0,96836.0,50868.0
141358.0,106706.0,56352.0
174280.0,144206.0,76477.0
197703.0,157828.0,85812.0
200864.0,154930.0,84228.0
189774.0,143268.0,76878.0
188907.0,144597.0,78831.0
188456.0,142897.0,77803.0
186538.0,142217.0,77228.0
183629.0,139834.0,75884.0
182403.0,139511.0,75865.0
186626.0,144777.0,78832.0
197184.0,154630.0,85105.0
213682.0,168011.0,93513.0
208233.0,158970.0,87134.0
185835.0,143727.0,78599.0
172343.0,138897.0,76088.0
160628.0,125388.0,65633.0
149761.0,116684.0,60401.0
141079.0,111248.0,57076.0
134846.0,104347.0,55046.0
129393.0,100406.0,52403.0
127867.0,98075.0,50962.0
128959.0,98068.0,50812.0
130365.0,97939.0,50664.0
134161.0,103470.0,54078.0
149024.0,113561.0,59924.0
159077.0,123647.0,67181.0
165694.0,133648.0,73413.0
168348.0,136398.0,74891.0
172496.0,137437.0,75366.0
167708.0,132712.0,73383.0
165655.0,134000.0,74720.0
162928.0,132280.0,73934.0
156175.0,126927.0,70969.0
153039.0,126443.0,70876.0
156410.0,132697.0,74627.0
165512.0,141832.0,79935.0
167241.0,135510.0,76145.0
166890.0,134330.0,75491.0
160626.0,128150.0,71734.0
153282.0,123471.0,68762.0
146103.0,115754.0,63407.0
140882.0,110495.0,59594.0
138783.0,104053.0,54979.0
137067.0,99836.0,52070.0
136919.0,97385.0,50523.0
139168.0,97340.0,50187.0
142099.0,97174.0,50005.0
147452.0,99904.0,52142.0
167520.0,108345.0,56987.0
177444.0,118146.0,63587.0
173981.0,128809.0,70617.0
171225.0,131697.0,73087.0
172400.0,132866.0,73765.0
164268.0,128606.0,72594.0
160739.0,130009.0,74341.0
156681.0,128164.0,73790.0
149059.0,122934.0,71202.0
145692.0,122856.0,71414.0
148872.0,128915.0,75093.0
157931.0,137503.0,79934.0
160182.0,133896.0,77749.0
159997.0,131409.0,75242.0
153844.0,125393.0,70758.0
146168.0,120492.0,67581.0
139512.0,114947.0,63381.0
134585.0,109401.0,59081.0
134834.0,109238.0,54200.0
138164.0,108158.0,53042.0
140617.0,107140.0,51732.0
144339.0,108284.0,51698.0
150227.0,111097.0,53161.0
162902.0,120944.0,59457.0
213745.0,172546.0,87940.0
227675.0,188147.0,102555.0
212941.0,179603.0,100682.0
192221.0,161809.0,91486.0
187219.0,157973.0,89419.0
180911.0,152874.0,87935.0
175905.0,150263.0,87151.0
170645.0,146076.0,85084.0
167178.0,144167.0,84420.0
170100.0,146692.0,86384.0
179975.0,155793.0,93187.0
196577.0,171646.0,103026.0
191297.0,161345.0,97468.0
170285.0,144096.0,84872.0
157138.0,139518.0,81289.0
145114.0,123761.0,67380.0
134699.0,113488.0,60313.0
126798.0,107169.0,56016.0
121797.0,102972.0,54840.0
120799.0,102056.0,53751.0
121344.0,101071.0,52907.0
123266.0,101773.0,53365.0
127266.0,104300.0,54778.0
137529.0,113788.0,60454.0
173358.0,157709.0,86140.0
190577.0,167488.0,98224.0
189475.0,160084.0,95688.0
177599.0,144803.0,86406.0
176206.0,145445.0,85592.0
174358.0,140872.0,83564.0
172459.0,138488.0,82531.0
169052.0,134972.0,80342.0
167240.0,133305.0,79578.0
171378.0,136528.0,81471.0
181804.0,145244.0,87502.0
197532.0,158006.0,96748.0
191233.0,146018.0,90629.0
168977.0,130670.0,80391.0
154966.0,125650.0,77650.0
142979.0,111496.0,65901.0
131989.0,102919.0,59787.0
122736.0,96708.0,55743.0
116852.0,94498.0,53460.0
115414.0,93952.0,52640.0
115544.0,93013.0,51812.0
117297.0,93615.0,52290.0
121048.0,96217.0,53761.0
130748.0,105153.0,59334.0
162208.0,142462.0,81460.0
182041.0,150126.0,91128.0
183872.0,145633.0,88289.0
173208.0,133475.0,79744.0
172526.0,136084.0,80273.0
172489.0,132842.0,78121.0
170797.0,131341.0,77071.0
167841.0,128267.0,75211.0
166763.0,127796.0,74656.0
171188.0,131633.0,76717.0
181788.0,140219.0,82350.0
197508.0,152014.0,90613.0
192794.0,140337.0,83885.0
170695.0,125209.0,74783.0
157185.0,120097.0,71766.0
145996.0,107505.0,61583.0
135330.0,99954.0,56267.0
126479.0,94230.0,52392.0
124369.0,92475.0,49330.0
124372.0,92390.0,48783.0
126288.0,91858.0,48092.0
129703.0,92886.0,48618.0
134898.0,95753.0,50032.0
146680.0,104848.0,55131.0
182056.0,138845.0,73359.0
202144.0,149258.0,82390.0
201023.0,145884.0,80940.0
186901.0,134037.0,74098.0
183778.0,136648.0,75823.0
179502.0,133692.0,74569.0
175758.0,132345.0,74040.0
170562.0,129199.0,72413.0
167344.0,128680.0,72235.0
170537.0,132896.0,74906.0
180088.0,141557.0,80560.0
196224.0,153727.0,88270.0
191057.0,142411.0,81687.0
170146.0,127775.0,72748.0
157799.0,123065.0,69811.0
146475.0,110405.0,60320.0
136626.0,102645.0,55387.0
129139.0,97140.0,51951.0
124112.0,94949.0,51762.0
124211.0,95067.0,51422.0
125688.0,94607.0,50691.0
128667.0,95809.0,51270.0
133709.0,98670.0,52838.0
144844.0,107923.0,58334.0
180145.0,143679.0,78068.0
196780.0,154442.0,87315.0
193050.0,149999.0,85096.0
176591.0,137093.0,77223.0
172688.0,139652.0,78603.0
168960.0,136229.0,76804.0
165401.0,134690.0,75823.0
161038.0,131662.0,74021.0
158882.0,130899.0,73649.0
162592.0,135091.0,76076.0
172443.0,143724.0,81893.0
187171.0,156005.0,90145.0
181695.0,144747.0,83433.0
159983.0,130188.0,74518.0
146656.0,125752.0,71731.0
135913.0,112717.0,61917.0
126160.0,104597.0,56715.0
117880.0,99156.0,53202.0
109665.0,93021.0,50178.0
103606.0,89864.0,47885.0
102251.0,88094.0,46733.0
103262.0,88378.0,46858.0
105094.0,88435.0,46651.0
109468.0,92960.0,49296.0
123782.0,102597.0,54993.0
127146.0,109716.0,60947.0
131558.0,117760.0,66194.0
133905.0,118868.0,67225.0
136534.0,120524.0,68303.0
133739.0,114973.0,65330.0
134041.0,115895.0,66262.0
133061.0,113681.0,65270.0
128616.0,108100.0,62517.0
127199.0,108060.0,62858.0
131417.0,112793.0,66160.0
136942.0,119430.0,70352.0
139833.0,115797.0,67691.0
138873.0,115138.0,66985.0
130466.0,108082.0,62974.0
120804.0,103738.0,60342.0
111218.0,97233.0,55970.0
103295.0,93138.0,53150.0
96585.0,87089.0,49475.0
92092.0,83522.0,47052.0
89810.0,81756.0,45862.0
90309.0,81852.0,45897.0
91831.0,81497.0,45526.0
94963.0,83280.0,46596.0
106560.0,91716.0,51070.0
111350.0,99314.0,57013.0
119160.0,108398.0,63093.0
125144.0,112453.0,65682.0
129188.0,115516.0,67390.0
128531.0,111723.0,65522.0
130339.0,113722.0,66851.0
130556.0,112499.0,66280.0
126861.0,108054.0,63876.0
125845.0,109140.0,64818.0
130506.0,114654.0,68681.0
136300.0,120764.0,72993.0
139752.0,119342.0,71392.0
138764.0,118210.0,69976.0
130050.0,111885.0,65967.0
119917.0,107176.0,63038.0
109975.0,102371.0,59768.0
101313.0,98513.0,56720.0
99727.0,100071.0,53936.0
99532.0,99842.0,53230.0
100309.0,99204.0,52172.0
103158.0,100580.0,52709.0
108215.0,103754.0,54492.0
118728.0,113981.0,60636.0
149395.0,158370.0,85443.0
167071.0,170240.0,96318.0
168994.0,163448.0,93594.0
158913.0,148023.0,84806.0
158546.0,148700.0,84855.0
159128.0,144661.0,83200.0
158921.0,142572.0,82654.0
156668.0,138678.0,80475.0
156085.0,136915.0,79853.0
160778.0,140413.0,82199.0
171219.0,149553.0,88524.0
185922.0,163505.0,97697.0
180617.0,152017.0,91561.0
158816.0,136468.0,81687.0
144353.0,131570.0,78837.0
132366.0,117031.0,67132.0
121247.0,108505.0,61061.0
111071.0,102456.0,56966.0
102073.0,97990.0,54493.0
98549.0,96992.0,53370.0
98594.0,97190.0,53030.0
100354.0,98130.0,53580.0
103507.0,100265.0,54768.0
112280.0,109207.0,60263.0
140341.0,151193.0,85873.0
159107.0,159606.0,96962.0
161340.0,149815.0,92248.0
152921.0,137115.0,83802.0
151505.0,136841.0,82125.0
152498.0,132570.0,80220.0
152787.0,129940.0,79090.0
151731.0,127393.0,77395.0
151155.0,124392.0,75614.0
155372.0,127101.0,77116.0
164985.0,134620.0,82286.0
178610.0,147124.0,91351.0
175108.0,137226.0,85985.0
154756.0,123440.0,77220.0
141523.0,119528.0,74967.0
130612.0,106744.0,64077.0
119124.0,98887.0,58386.0
108520.0,92955.0,54602.0
101472.0,85123.0,50552.0
102060.0,83856.0,49510.0
102228.0,83856.0,49185.0
104064.0,84704.0,49568.0
107273.0,86606.0,50662.0
116005.0,94330.0,55545.0
143099.0,124783.0,74920.0
167250.0,136222.0,84530.0
171576.0,131510.0,81445.0
165364.0,122742.0,75401.0
164706.0,123472.0,75395.0
167145.0,122349.0,74332.0
167256.0,121143.0,73442.0
166806.0,119770.0,72163.0
166465.0,118112.0,71311.0
171142.0,122275.0,73594.0
181540.0,129965.0,78557.0
195338.0,141047.0,86115.0
192142.0,132887.0,80562.0
171067.0,119411.0,72384.0
158178.0,115260.0,69938.0
147675.0,104459.0,60473.0
135248.0,97209.0,55344.0
124777.0,91717.0,52135.0
121842.0,92939.0,50934.0
121483.0,92634.0,50115.0
123041.0,93325.0,49817.0
126229.0,95225.0,50482.0
130323.0,98160.0,51831.0
139502.0,107374.0,57160.0
171708.0,146876.0,79392.0
197295.0,158263.0,89250.0
198799.0,151427.0,85573.0
189033.0,140677.0,78944.0
187328.0,140625.0,78798.0
186524.0,138009.0,77463.0
184550.0,136461.0,76634.0
182415.0,134646.0,75396.0
180035.0,132571.0,74259.0
182847.0,136452.0,76673.0
191425.0,144356.0,82041.0
205665.0,156973.0,90452.0
200886.0,147610.0,85205.0
180700.0,133864.0,77393.0
168891.0,130505.0,75429.0
157121.0,117563.0,65086.0
145520.0,109173.0,59378.0
136316.0,103636.0,55870.0
131038.0,99607.0,54503.0
128862.0,98819.0,53488.0
130045.0,99152.0,53142.0
132660.0,100319.0,53802.0
136451.0,102681.0,55014.0
146103.0,111719.0,60433.0
181686.0,151963.0,84580.0
208541.0,163135.0,94964.0
204018.0,154339.0,89825.0
188052.0,141804.0,81299.0
184500.0,141226.0,79989.0
181764.0,137189.0,77758.0
178885.0,134595.0,76264.0
175750.0,131616.0,74818.0
172685.0,128891.0,73200.0
175381.0,132112.0,75031.0
184030.0,140006.0,80212.0
198325.0,152823.0,89095.0
193215.0,142931.0,83551.0
172937.0,129358.0,75492.0
160511.0,125505.0,73345.0
149226.0,112620.0,63140.0
138169.0,104255.0,57783.0
129164.0,98433.0,54143.0
117979.0,91927.0,51750.0
111149.0,88337.0,49243.0
107193.0,85357.0,47332.0
107004.0,86098.0,47618.0
108147.0,86326.0,47636.0
111595.0,90285.0,50212.0
124577.0,99820.0,55680.0
132670.0,104037.0,59583.0
137944.0,109838.0,63863.0
143198.0,113899.0,66307.0
149132.0,115996.0,67529.0
147648.0,109661.0,64044.0
148163.0,110849.0,64956.0
146101.0,106478.0,62555.0
142210.0,102652.0,60448.0
140067.0,101178.0,59706.0
140757.0,102563.0,60986.0
142963.0,106442.0,63960.0
149150.0,109395.0,64765.0
147739.0,107281.0,63118.0
139533.0,101480.0,59740.0
129839.0,95799.0,56285.0
120826.0,89970.0,52210.0
114934.0,87787.0,50345.0
108888.0,84216.0,47455.0
103750.0,81001.0,45122.0
100338.0,78444.0,43438.0
100666.0,79225.0,43695.0
102204.0,79589.0,43677.0
105024.0,81449.0,44657.0
115927.0,89183.0,48631.0
123258.0,92926.0,52127.0
130971.0,98896.0,56628.0
138882.0,104209.0,60001.0
144657.0,106416.0,61305.0
142709.0,101543.0,58622.0
143685.0,102820.0,59780.0
141949.0,99193.0,57766.0
138659.0,96188.0,56061.0
137008.0,95345.0,55732.0
137744.0,96872.0,56874.0
140110.0,100275.0,59408.0
146261.0,105458.0,61824.0
144990.0,102139.0,59603.0
136972.0,96267.0,55875.0
127904.0,90600.0,52271.0
120264.0,86432.0,49203.0
115341.0,84919.0,47407.0
113834.0,83651.0,44479.0
113566.0,83169.0,43862.0
114573.0,83795.0,43775.0
117165.0,85175.0,44381.0
120905.0,87395.0,45683.0
130461.0,95850.0,50454.0
163773.0,126715.0,67510.0
184541.0,138008.0,75500.0
184760.0,133210.0,72500.0
175710.0,124137.0,67057.0
174126.0,125324.0,67675.0
173553.0,123786.0,66578.0
172866.0,122246.0,65962.0
171714.0,120942.0,65076.0
170182.0,119077.0,64162.0
174086.0,123384.0,66736.0
183698.0,131143.0,71485.0
198114.0,142529.0,78693.0
193005.0,134071.0,73694.0
172502.0,120535.0,65884.0
159945.0,116082.0,63358.0
148477.0,105098.0,55205.0
137163.0,97993.0,50549.0
127781.0,92520.0,47364.0
119816.0,87161.0,44368.0
118354.0,86216.0,43461.0
119842.0,86492.0,43231.0
122781.0,87529.0,43743.0
126905.0,89598.0,44703.0
136911.0,98411.0,49670.0
170601.0,131848.0,66370.0
192264.0,145163.0,76092.0
192580.0,141517.0,74481.0
181936.0,133087.0,69893.0
179440.0,133934.0,70862.0
177269.0,133644.0,71153.0
174912.0,132861.0,71015.0
172046.0,131876.0,70680.0
169371.0,130642.0,70159.0
172722.0,135481.0,73431.0
182077.0,144092.0,79269.0
197080.0,156687.0,87089.0
