Derating_factor_2,Derating_factor_1,Resource,Derating_factor_3
0.0,0.8,UT_onshore_wind_turbine_1,0.0
0.0,0.9,UT_other_peaker_1,0.0
0.0,0.8,UT_small_hydroelectric_1,0.0
0.0,0.8,UT_solar_photovoltaic_1,0.0
0.0,0.8,UT_conventional_hydroelectric_1,0.0
0.0,0.9,UT_conventional_steam_coal_1,0.0
0.0,0.9,UT_other_peaker_1,0.0
0.0,0.8,UT_small_hydroelectric_1,0.0
0.0,0.8,UT_solar_photovoltaic_1,0.0
0.0,0.0,AZ_conventional_hydroelectric_1,0.8
0.0,0.0,AZ_natural_gas_fired_combined_cycle_1,0.9
0.0,0.0,AZ_natural_gas_fired_combustion_turbine_1,0.9
0.0,0.0,AZ_onshore_wind_turbine_1,0.8
0.0,0.0,AZ_solar_photovoltaic_1,0.8
0.0,0.0,AZ_biomass_1,0.9
0.0,0.0,AZ_conventional_hydroelectric_1,0.8
0.0,0.0,AZ_conventional_steam_coal_1,0.9
0.0,0.0,AZ_hydroelectric_pumped_storage_1,0.95
0.0,0.0,AZ_natural_gas_fired_combined_cycle_1,0.9
0.0,0.0,AZ_natural_gas_fired_combustion_turbine_1,0.9
0.0,0.0,AZ_natural_gas_steam_turbine_1,0.9
0.0,0.0,AZ_nuclear_1,0.9
0.0,0.0,AZ_onshore_wind_turbine_1,0.8
0.0,0.0,AZ_other_peaker_1,0.9
0.0,0.0,AZ_small_hydroelectric_1,0.8
0.0,0.0,AZ_solar_photovoltaic_1,0.8
0.0,0.0,AZ_biomass_1,0.9
0.0,0.0,AZ_conventional_steam_coal_1,0.9
0.0,0.0,AZ_solar_photovoltaic_1,0.8
0.0,0.9,WA_biomass_1,0.0
0.0,0.8,WA_conventional_hydroelectric_1,0.0
0.0,0.9,WA_natural_gas_fired_combustion_turbine_1,0.0
0.0,0.8,WA_onshore_wind_turbine_1,0.0
0.0,0.9,WA_other_peaker_1,0.0
0.0,0.8,WA_small_hydroelectric_1,0.0
0.0,0.8,WA_solar_photovoltaic_1,0.0
0.0,0.0,AZ_natural_gas_fired_combined_cycle_1,0.9
0.0,0.0,AZ_natural_gas_fired_combustion_turbine_1,0.9
0.0,0.0,AZ_natural_gas_steam_turbine_1,0.9
0.0,0.0,AZ_other_peaker_1,0.9
0.0,0.0,AZ_solar_photovoltaic_1,0.8
0.0,0.0,NM_biomass_1,0.9
0.0,0.0,NM_conventional_steam_coal_1,0.9
0.0,0.0,NM_geothermal_1,0.9
0.0,0.0,NM_natural_gas_fired_combined_cycle_1,0.9
0.0,0.0,NM_natural_gas_fired_combustion_turbine_1,0.9
0.0,0.0,NM_natural_gas_steam_turbine_1,0.9
0.0,0.0,NM_onshore_wind_turbine_1,0.8
0.0,0.0,NM_other_peaker_1,0.9
0.0,0.0,NM_small_hydroelectric_1,0.8
0.0,0.0,NM_solar_photovoltaic_1,0.8
0.0,0.9,CO_biomass_1,0.0
0.0,0.8,CO_conventional_hydroelectric_1,0.0
0.0,0.9,CO_conventional_steam_coal_1,0.0
0.0,0.95,CO_hydroelectric_pumped_storage_1,0.0
0.0,0.9,CO_natural_gas_fired_combined_cycle_1,0.0
0.0,0.9,CO_natural_gas_fired_combustion_turbine_1,0.0
0.0,0.9,CO_natural_gas_steam_turbine_1,0.0
0.0,0.8,CO_onshore_wind_turbine_1,0.0
0.0,0.9,CO_other_peaker_1,0.0
0.0,0.8,CO_small_hydroelectric_1,0.0
0.0,0.8,CO_solar_photovoltaic_1,0.0
0.0,0.8,CO_conventional_hydroelectric_1,0.0
0.0,0.9,CO_conventional_steam_coal_1,0.0
0.0,0.9,CO_natural_gas_fired_combined_cycle_1,0.0
0.0,0.9,CO_natural_gas_fired_combustion_turbine_1,0.0
0.0,0.9,CO_natural_gas_steam_turbine_1,0.0
0.0,0.8,CO_onshore_wind_turbine_1,0.0
0.0,0.9,CO_other_peaker_1,0.0
0.0,0.8,CO_small_hydroelectric_1,0.0
0.0,0.8,CO_solar_photovoltaic_1,0.0
0.0,0.8,WA_conventional_hydroelectric_1,0.0
0.0,0.95,WA_hydroelectric_pumped_storage_1,0.0
0.0,0.8,WA_small_hydroelectric_1,0.0
0.0,0.9,OR_biomass_1,0.0
0.0,0.8,OR_conventional_hydroelectric_1,0.0
0.0,0.9,OR_natural_gas_fired_combined_cycle_1,0.0
